fuente,source_record_id,fecha_hora,fecha,hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,fase_vuelo,descripcion,tipo_incidente,categoria_incidente,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo
JST,JST-RAW-134235328-23,2023-11-08T21:30:00,2023-11-08,2130,,,Casilda,Santa Fe,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Flight Training/Instructional / Other | Casilda, Santa Fe",ARC (Abnormal runway contact),Pista,,LV-OLZ,,,,,,-33.065,-61.206,0,0,Alto
JST,JST-RAW-135569176-23,2023-11-12T19:30:00,2023-11-12,1930,,,Villa Cañás,Santa Fe,En vuelo,"Accidente | LOC-I (Loss of control - inflight) | Non-Commercial Operations / Demostration / Demostration | Villa Cañás, Santa Fe",LOC-I (Loss of control - inflight),Operacion,,LV-X468,,,,,,-33.959,-61.626,0,0,Critico
JST,JST-RAW-135571047-23,2023-11-13T23:15:00,2023-11-13,2315,,,Villa Ojo de Agua,Santiago Del Estero,Aterrizaje,"Incidente grave | ARC (Abnormal runway contact) | Non-Commercial Operations / Bussiness / Bussiness | Villa Ojo de Agua, Santiago Del Estero",ARC (Abnormal runway contact),Pista,,LQ-FKA,,,,,,-29.51,-63.696,0,0,Alto
JST,JST-RAW-145768499-23,2023-11-22T13:40:00,2023-11-22,1340,,,Morón,Buenos Aires,En vuelo,"Incidente | F-NI (Fire/smoke non-impact) | Non-Commercial Operations / Flight Training/Instructional / Dual | Morón, Buenos Aires",F-NI (Fire/smoke non-impact),Seguridad operacional,,LV-S048,,,,,,-34.678,-58.643,0,0,Alto
JST,JST-RAW-140796134-23,2023-11-26T21:30:00,2023-11-26,2130,,,Río Paraná,Buenos Aires,Maniobra a baja altura,"Accidente | LALT (Low altitude operations) | Non-Commercial Operations / Pleasure / Otros | Río Paraná, altura Ramallo, Buenos Aires",LALT (Low altitude operations),Operacion,,LV-FQJ,,,,,,-32.497,-59.973,0,0,Alto
JST,JST-RAW-141422183-23,2023-11-27T22:52:00,2023-11-27,2252,,,General Rodríguez,Buenos Aires,Aterrizaje,"Accidente | ARC (Abnormal runway contact) | Non-Commercial Operations / Pleasure / Otros | General Rodríguez, Buenos Aires",ARC (Abnormal runway contact),Pista,,LV-X429,,,,,,-34.679,-59.034,0,0,Alto
JST,JST-GODOY-20231128,2023-11-28T11:20:00,2023-11-28,1120,SAME,El Plumerillo,Godoy Cruz,Mendoza,Ascenso inicial,Perdida de potencia por falla de motor despues del despegue y aterrizaje de emergencia en zona urbana de Godoy Cruz.,Falla de motor,Tecnico,Tecnam P2002 Sierra,LV-S077,Instruccion,VMC,Dia,10.0,5.0,-32.8317,-68.7929,0,0,Alto
JST,JST-RAW-147824849-23,2023-12-12T12:00:00,2023-12-12,1200,,,Cordoba,Cordoba,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Other | Cordoba, Cordoba",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-CGM,,,,,,-31.482,-64.182,0,0,Alto
JST,JST-RAW-149632535-23,2023-12-16T10:20:00,2023-12-16,1020,,,Cutral-Co,Neuquen,En tierra,"Accidente | F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight) | Non-Commercial Operations / Flight Training/Instructional / Dual | Cutral-Co, Neuquen","F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight)",Seguridad operacional,,LV-GHP,,,,,,-38.939,-69.265,0,0,Critico
JST,JST-RAW-149872133-23,2023-12-17T06:32:00,2023-12-17,0632,,,Ministro Pistarini -Ezeiza (SAEZ),Buenos Aires,En tierra,"Incidente | RAMP (Ground Handling) | Commercial Air Transport / Scheduled / Airline (internacional) | Ministro Pistarini -Ezeiza (SAEZ), Buenos Aires",RAMP (Ground Handling),Seguridad operacional,,CC-BFR,,,,,,-34.822,-58.535,0,0,Medio
